Date,Actual,Prediction,,
2020/11/2,12097,,,
2020/11/3,15352,,,
2020/11/4,17214,,,
2020/11/5,19990,,,
2020/11/6,21506,,,
2020/11/7,23399,,,
2020/11/8,16017,,,
2020/11/9,13363,,,
2020/11/10,15332,,,
2020/11/11,18487,,,
2020/11/12,21866,,,
2020/11/13,23542,,,
2020/11/14,22461,,,
2020/11/15,16947,,,
2020/11/16,10824,,,
2020/11/17,14419,,,
2020/11/18,17561,,,
2020/11/19,22609,,,
2020/11/20,23648,,,
2020/11/21,22964,,,
2020/11/22,15741,,,
2020/11/23,10864,,,
2020/11/24,13554,,,
2020/11/25,18633,,,
2020/11/26,22268,,,
2020/11/27,22806,,,
2020/11/28,21695,,,
2020/11/29,14611,,,
2020/11/30,11169,,,
2020/12/1,13604,,,
2020/12/2,17270,,,
2020/12/3,22046,,,
2020/12/4,23449,,,
2020/12/5,23318,,,
2020/12/6,17767,,,
2020/12/7,12332,,,
2020/12/8,14054,,,
2020/12/9,20815,,,
2020/12/10,23679,,,
2020/12/11,29875,,,
2020/12/12,28438,,,
2020/12/13,20200,,,
2020/12/14,16362,,,
2020/12/15,14432,,,
2020/12/16,27728,,,
2020/12/17,26923,,,
2020/12/18,33777,,,
2020/12/19,31300,,,
2020/12/20,22771,,,
2020/12/21,16643,,,
2020/12/22,19528,,,
2020/12/23,24740,,,
2020/12/24,32195,,,
2020/12/25,25533,,,
2020/12/26,14455,,,
2020/12/27,13755,,,
2020/12/28,10976,,,
2020/12/29,12892,,,
2020/12/30,22459,,,
2020/12/31,32552,,,
2021/1/1,22924,,,
2021/1/2,12690,,,
2021/1/3,10315,,,
2021/1/4,9847,,,
2021/1/5,11897,,,
2021/1/6,21237,,,
2021/1/7,26391,,,
2021/1/8,31849,,,
2021/1/9,24694,,,
2021/1/10,16946,,,
2021/1/11,12497,,,
2021/1/12,12802,14459.80272,0.114649055,0.388712413
2021/1/13,19600,22299.3338,0.121049975,
2021/1/14,25164,27137.83131,0.072733568,
2021/1/15,22368,31633.53653,0.292902329,
2021/1/16,18678,23820.79366,0.215895143,
2021/1/17,13882,17217.79615,0.19374118,
2021/1/18,7141,12532.49754,0.430201364,
2021/1/19,11369,14460.58226,0.21379376,
2021/1/20,15974,22548.12104,0.291559595,
2021/1/21,20398,28936.0899,0.295067161,
2021/1/22,17862,28926.75683,0.382509415,
2021/1/23,16417,20249.9089,0.189280303,
2021/1/24,12257,15154.41617,0.19119286,
2021/1/25,6729,11716.72231,0.425692628,
2021/1/26,6412,13675.6458,0.531137316,
2021/1/27,13198,22192.83429,0.405303539,
2021/1/28,17553,28490.82614,0.383906949,
2021/1/29,14022,29318.71025,0.521738853,
2021/1/30,12321,20947.35954,0.411811308,
2021/1/31,11192,15319.65392,0.269435194,
2021/2/1,5608,11804.0894,0.524910409,
2021/2/2,6114,13769.93157,0.555989079,
2021/2/3,9705,22159.42437,0.56203736,
2021/2/4,14211,27993.7032,0.492350122,
2021/2/5,12908,30100.50101,0.571169928,
2021/2/6,10485,21957.00629,0.522475885,
2021/2/7,8616,15931.69573,0.459191279,
2021/2/8,4535,12043.41148,0.623445565,
2021/2/9,3379,13998.97566,0.758625196,
2021/2/10,8072,22272.25941,0.63757606,
